Keys,Values_en,Values_de
about-me-title,About Me,Über mich
about-me-text,"With 17 years of experience in the software engineering industry, I am passionate about building innovative solutions that drive technology forward. My journey has given me a strong background in a diverse range of technologies including C, C++, Go, Python, and Swift, with a specialization in embedded systems and the networking domain. I thrive in collaborative environments, leveraging best practices to optimize performance and enhance user experiences in the Automotive and Telecommunications industries. My work is driven by a commitment to quality and a passion for continuous learning, always seeking to write clean, maintainable code. I am excited by the future of technology and look forward to new challenges where I can contribute my expertise and passion.","Mit 17 Jahren Erfahrung in der Softwareentwicklungsbranche entwickle ich mit Leidenschaft innovative Lösungen, die die Technologie vorantreiben. Mein Werdegang hat mir ein fundiertes Wissen in einer Vielzahl von Technologien verschafft, darunter C, C++, Go, Python und Swift, mit einer Spezialisierung auf eingebettete Systeme und den Netzwerkbereich. Ich arbeite gerne in kollaborativen Umgebungen und nutze Best Practices, um die Leistung zu optimieren und das Benutzererlebnis in der Automobil- und Telekommunikationsbranche zu verbessern. Meine Arbeit ist geprägt von Qualitätsbewusstsein und der Leidenschaft für kontinuierliches Lernen. Ich bin stets bestrebt, sauberen, wartbaren Code zu schreiben. Ich bin begeistert von der technologischen Zukunft und freue mich auf neue Herausforderungen, bei denen ich mein Fachwissen und meine Leidenschaft einbringen kann."
index-title,Index,Index
index-about,About Me,Über mich
index-experience,Experience,Erfahrung
index-tools,Tech Stack,Technologie-Stack
index-contact,Contact,Kontakt
resume-title,Download My Resume,Meinen Lebenslauf herunterladen
tools-title,Tech Stack,Technologie-Stack
experience-title,Projects,Projekte
exp-ai-auto-title,AI Automation Consultant,Berater für KI-Automatisierung
exp-ai-auto-summary,Delivered complete AI automation solutions using n8n. Integrated the AI automation into the existing websites and workflows.,Bereitstellung vollständiger KI-Automatisierungslösungen mit n8n. Integration der KI-Automatisierung in die vorhandenen Websites und Arbeitsabläufe.
exp-gastro-title,Independent Product Consultant,Unabhängiger Produktberater
exp-gastro-summary,"Delivered complete SaaS platform modernization for GastroSmart GmbH, transforming the legacy catering management system into a scalable NextJS/NestJS solution that improved performance and reduced operational costs. Directed end-to-end redevelopment while ensuring zero service disruption during customer transition.","Für die GastroSmart GmbH wurde eine komplette Modernisierung der SaaS-Plattform durchgeführt. Das bestehende Catering-Management-System wurde in eine skalierbare NextJS/NestJS-Lösung umgewandelt, die die Leistung verbesserte und die Betriebskosten senkte. Die komplette Neuentwicklung wurde geleitet, ohne dass es während der Kundenumstellung zu Serviceunterbrechungen kam."
exp-cnc-title,Entrepreneur | Product Developer & IoT Solution Engineer,Unternehmer | Produktentwickler & IoT-Lösungsingenieur
